Date;Open;High;Low;Close;Adj Close;Volume
02/01/2020;575;575;565;570;570;12286300
03/01/2020;575;575;555;565;565;84199700
06/01/2020;560;565;545;545;545;76881100
07/01/2020;545;550;535;545;545;56419000
08/01/2020;540;550;535;540;540;50358200
09/01/2020;545;570;540;570;570;82447000
10/01/2020;570;575;555;560;560;35748600
13/01/2020;560;590;560;585;585;121586200
14/01/2020;585;600;580;595;595;52551700
15/01/2020;595;595;575;590;590;42243100
16/01/2020;585;595;580;585;585;31897100
17/01/2020;590;595;580;585;585;26683100
20/01/2020;590;590;580;585;585;33931200
21/01/2020;580;585;565;575;575;40087000
22/01/2020;575;575;560;560;560;24030800
23/01/2020;560;575;555;570;570;26103900
24/01/2020;575;585;565;570;570;18055700
27/01/2020;570;570;540;545;545;35518700
28/01/2020;540;555;535;550;550;39109600
29/01/2020;550;560;540;545;545;21094300
30/01/2020;545;550;535;535;535;19097100
