Date;Open;High;Low;Close;Volume
28/12/2020;1.050;1.050;1.010;1.035;30955600
29/12/2020;1.040;1.045;1.000;1.015;17013600
30/12/2020;1.015;1.015;980;985;37068300
04/01/2021;980;1.040;945;1.035;44443100
05/01/2021;1.035;1.060;1.015;1.045;41964800
06/01/2021;1.060;1.060;990;1.015;32250300
07/01/2021;1.030;1.030;1.010;1.025;16331600
08/01/2021;1.030;1.040;1.010;1.015;16248600
11/01/2021;1.015;1.035;1.005;1.025;39708200
12/01/2021;1.040;1.115;1.030;1.080;97625300
13/01/2021;1.105;1.110;1.045;1.080;42648800
14/01/2021;1.080;1.085;1.060;1.070;11427500
15/01/2021;1.050;1.090;1.050;1.075;36281000
18/01/2021;1.075;1.115;1.060;1.105;54232500
19/01/2021;1.115;1.130;1.030;1.030;68653500
20/01/2021;1.035;1.100;990;1.085;41568600
21/01/2021;1.095;1.110;1.050;1.060;25581000
22/01/2021;1.060;1.060;1.010;1.020;39399500
25/01/2021;1.020;1.020;955;985;36326200
26/01/2021;985;1.000;935;945;53810000
27/01/2021;945;960;890;940;40945400
28/01/2021;920;950;890;920;33717100
29/01/2021;920;955;885;900;41960700
01/02/2021;900;1.030;890;1.000;45893000
02/02/2021;1.000;1.010;950;955;22217700
03/02/2021;960;975;950;950;23490800
04/02/2021;945;965;925;960;26655600
05/02/2021;970;1.035;945;1.030;46126000
08/02/2021;1.040;1.080;1.030;1.070;41499300
09/02/2021;1.075;1.075;1.015;1.025;20942200
10/02/2021;1.025;1.035;1.010;1.035;20084700
11/02/2021;1.035;1.060;1.030;1.055;17567100
15/02/2021;1.065;1.095;1.050;1.090;36476800
16/02/2021;1.100;1.130;1.085;1.095;39290600
17/02/2021;1.090;1.110;1.080;1.085;65441000
18/02/2021;1.085;1.150;1.075;1.120;65480600
19/02/2021;1.125;1.185;1.125;1.175;99285100
22/02/2021;1.180;1.190;1.145;1.155;47411300
23/02/2021;1.155;1.160;1.120;1.140;23332200
24/02/2021;1.150;1.175;1.125;1.150;25225100
25/02/2021;1.170;1.170;1.150;1.155;18989200
26/02/2021;1.100;1.155;1.085;1.155;35843700
01/03/2021;1.145;1.350;1.120;1.230;162048000
02/03/2021;1.245;1.260;1.185;1.190;51373000
03/03/2021;1.190;1.215;1.155;1.170;27494800
04/03/2021;1.170;1.175;1.125;1.160;46692800
05/03/2021;1.145;1.165;1.115;1.130;41568100
08/03/2021;1.140;1.195;1.135;1.160;42519800
09/03/2021;1.160;1.170;1.130;1.140;26506100
10/03/2021;1.130;1.210;1.130;1.200;73179400
12/03/2021;1.240;1.240;1.205;1.205;35312000
15/03/2021;1.205;1.215;1.180;1.190;18836800
16/03/2021;1.190;1.200;1.170;1.190;15951700
17/03/2021;1.200;1.205;1.175;1.185;11960900
18/03/2021;1.190;1.220;1.190;1.195;18086300
19/03/2021;1.195;1.200;1.180;1.180;9602400
22/03/2021;1.195;1.200;1.150;1.160;11724600
23/03/2021;1.150;1.165;1.090;1.105;19827400
24/03/2021;1.100;1.120;1.060;1.110;26548800
25/03/2021;1.115;1.125;1.065;1.110;20278500
26/03/2021;1.115;1.175;1.085;1.155;35459200
29/03/2021;1.165;1.200;1.165;1.185;30441000
30/03/2021;1.170;1.180;1.105;1.125;26714400
31/03/2021;1.105;1.120;1.050;1.095;43699800
01/04/2021;1.105;1.140;1.075;1.140;30117500
05/04/2021;1.145;1.145;1.110;1.135;11685900
06/04/2021;1.120;1.160;1.120;1.155;10107400
07/04/2021;1.165;1.165;1.135;1.150;14552500
08/04/2021;1.150;1.160;1.145;1.155;11185800
09/04/2021;1.150;1.175;1.150;1.150;30569400
12/04/2021;1.145;1.145;1.070;1.070;38318900
13/04/2021;1.070;1.090;1.035;1.070;23500400
14/04/2021;1.085;1.125;1.070;1.115;19764300
15/04/2021;1.135;1.160;1.115;1.150;24974400
16/04/2021;1.160;1.175;1.150;1.150;25790000
19/04/2021;1.150;1.155;1.135;1.140;5996200
20/04/2021;1.150;1.210;1.140;1.180;52848700
21/04/2021;1.175;1.210;1.140;1.145;48245000
22/04/2021;1.150;1.160;1.105;1.115;36462600
23/04/2021;1.115;1.125;1.085;1.120;25866100
26/04/2021;1.125;1.155;1.115;1.130;23231800
27/04/2021;1.130;1.170;1.120;1.155;25730000
28/04/2021;1.140;1.165;1.140;1.160;12103600
29/04/2021;1.160;1.165;1.140;1.145;13368500
30/04/2021;1.155;1.165;1.140;1.140;13558400
03/05/2021;1.150;1.160;1.130;1.150;16207300
04/05/2021;1.150;1.160;1.145;1.155;12126200
05/05/2021;1.150;1.160;1.130;1.135;8668500
06/05/2021;1.145;1.150;1.115;1.125;6552900
07/05/2021;1.125;1.135;1.110;1.110;7474000
10/05/2021;1.125;1.165;1.120;1.160;13728400
11/05/2021;1.150;1.190;1.135;1.165;24311700
17/05/2021;1.175;1.180;1.100;1.105;15330400
18/05/2021;1.120;1.135;1.085;1.125;10403000
19/05/2021;1.120;1.125;1.100;1.100;7713600
20/05/2021;1.090;1.100;1.065;1.095;15443500
21/05/2021;1.100;1.100;1.060;1.070;11696400
24/05/2021;1.080;1.090;1.065;1.065;3790200
25/05/2021;1.075;1.095;1.065;1.085;6545900
27/05/2021;1.085;1.110;1.065;1.070;21549400
28/05/2021;1.075;1.080;1.065;1.065;6860200
31/05/2021;1.065;1.085;1.065;1.075;12978300
02/06/2021;1.080;1.110;1.080;1.100;22460800
03/06/2021;1.100;1.110;1.085;1.095;22842300
04/06/2021;1.095;1.095;1.055;1.060;18098700
07/06/2021;1.065;1.075;1.020;1.025;20931000
08/06/2021;1.030;1.045;1.015;1.030;15389800
09/06/2021;1.040;1.040;1.000;1.015;16900800
10/06/2021;1.020;1.040;1.010;1.015;15027900
11/06/2021;1.015;1.030;990;995;35097600
14/06/2021;995;1.015;980;990;75412000
15/06/2021;990;995;960;985;48206200
16/06/2021;985;1.010;970;1.000;17390700
17/06/2021;995;995;945;955;45902100
18/06/2021;955;955;895;920;63278100
21/06/2021;885;900;860;890;66898200
22/06/2021;910;955;900;950;49284600
23/06/2021;950;960;905;910;25961500
24/06/2021;910;925;895;920;14583800
25/06/2021;930;930;885;895;15830000
28/06/2021;900;910;875;885;11381300
29/06/2021;875;905;875;890;11724000
30/06/2021;890;945;880;930;29713700
01/07/2021;940;945;885;900;14848200
02/07/2021;900;950;900;930;26084400
05/07/2021;930;950;920;930;12787800
06/07/2021;930;980;930;970;22210200
07/07/2021;970;1.000;955;970;29620000
08/07/2021;970;980;950;960;13664700
09/07/2021;940;955;940;945;7478400
12/07/2021;960;975;945;955;20323100
13/07/2021;960;960;890;900;29689900
14/07/2021;910;910;860;875;31044900
15/07/2021;885;905;870;900;34080000
16/07/2021;905;960;905;940;39408500
19/07/2021;950;955;930;930;11454000
21/07/2021;930;975;920;930;29499600
22/07/2021;940;990;940;970;57014000
23/07/2021;980;985;945;955;18541900
26/07/2021;960;965;925;930;8743800
27/07/2021;900;920;870;880;72417900
28/07/2021;885;890;850;855;32384400
29/07/2021;860;890;855;890;27535500
30/07/2021;890;895;855;865;27689700
02/08/2021;915;915;860;885;22757800
03/08/2021;885;890;865;870;13404400
04/08/2021;870;880;860;875;19242800
05/08/2021;880;890;860;860;36283700
06/08/2021;860;875;840;860;20458200
09/08/2021;850;865;830;840;18777800
10/08/2021;845;855;825;835;12711100
12/08/2021;835;850;825;835;14074900
13/08/2021;835;845;820;820;20485500
16/08/2021;825;840;815;830;18674400
18/08/2021;830;910;825;900;90509000
19/08/2021;900;910;845;860;34051700
20/08/2021;860;865;825;840;30939200
23/08/2021;840;885;835;865;37268700
24/08/2021;875;885;840;845;20487400
25/08/2021;860;870;845;860;32536500
26/08/2021;880;880;840;845;8081800
27/08/2021;850;855;825;835;16951400
30/08/2021;840;875;840;870;24270200
31/08/2021;875;885;855;875;27977200
01/09/2021;880;895;875;880;17560700
02/09/2021;870;890;860;870;8997500
03/09/2021;875;920;875;915;36960000
06/09/2021;920;955;900;950;34177000
07/09/2021;940;995;930;985;55653200
08/09/2021;985;1.000;945;950;24134100
09/09/2021;950;980;940;970;27752700
10/09/2021;975;985;960;975;11726500
13/09/2021;975;985;945;965;21105400
14/09/2021;965;990;965;975;19115900
15/09/2021;975;1.005;965;990;41720600
16/09/2021;1.000;1.000;950;950;29158400
17/09/2021;950;955;905;905;42276600
20/09/2021;905;925;895;900;22887600
21/09/2021;900;940;880;905;37439900
22/09/2021;910;940;910;930;22649300
23/09/2021;930;940;900;905;18122600
24/09/2021;910;915;890;895;17696300
27/09/2021;905;905;885;895;32857600
28/09/2021;895;905;885;890;21475100
29/09/2021;890;895;865;885;47195700
30/09/2021;895;940;885;935;48413200
01/10/2021;935;965;920;950;65596900
04/10/2021;955;1.045;950;1.035;121823600
05/10/2021;1.045;1.065;995;1.055;108108600
06/10/2021;1.055;1.070;1.035;1.045;63012500
07/10/2021;1.045;1.055;1.010;1.030;39331500
08/10/2021;1.030;1.070;1.030;1.050;41960700
11/10/2021;1.055;1.070;1.025;1.030;40255200
12/10/2021;1.030;1.075;1.020;1.055;106368600
13/10/2021;1.070;1.080;1.055;1.070;99945500
14/10/2021;1.070;1.110;1.070;1.100;67702000
15/10/2021;1.100;1.135;1.090;1.130;32165600
18/10/2021;1.130;1.145;1.105;1.120;35628900
19/10/2021;1.120;1.125;1.090;1.095;26713000
21/10/2021;1.100;1.140;1.045;1.075;50256300
22/10/2021;1.075;1.135;1.060;1.120;42030900
25/10/2021;1.120;1.140;1.075;1.085;32223700
26/10/2021;1.085;1.105;1.085;1.105;19426000
27/10/2021;1.105;1.110;1.065;1.075;27622400
28/10/2021;1.075;1.085;1.040;1.085;54925300
29/10/2021;1.085;1.100;1.060;1.075;31594200
