Date;Open;High;Low;Close;Volume
28/12/2020;530;545;520;535;57174900
29/12/2020;535;550;510;515;109721800
30/12/2020;515;520;500;510;135900400
04/01/2021;515;525;496;520;95326300
05/01/2021;510;540;510;525;79486000
06/01/2021;525;530;505;510;96455600
07/01/2021;510;520;505;515;45738000
08/01/2021;515;520;510;515;82124200
11/01/2021;510;555;510;550;194551600
12/01/2021;550;575;530;570;222055400
13/01/2021;575;595;560;590;220938200
14/01/2021;595;595;565;565;67089800
15/01/2021;565;570;550;555;75685200
18/01/2021;555;560;535;540;70622700
19/01/2021;540;550;520;525;113637500
20/01/2021;525;540;520;535;93115400
21/01/2021;535;545;525;530;62932600
22/01/2021;525;530;510;515;129875300
25/01/2021;515;530;505;515;88057100
26/01/2021;515;520;480;486;155964000
27/01/2021;486;492;464;486;157438900
28/01/2021;462;486;462;476;142044400
29/01/2021;488;492;468;482;123541800
01/02/2021;482;530;470;525;202710900
02/02/2021;530;535;494;496;115489000
03/02/2021;505;520;498;500;87030500
04/02/2021;505;510;496;500;40905800
05/02/2021;500;510;498;505;42069400
08/02/2021;515;530;510;530;114417300
09/02/2021;540;540;520;530;103254000
10/02/2021;530;540;515;535;97513700
11/02/2021;535;540;515;525;48686700
15/02/2021;525;550;525;550;121519000
16/02/2021;555;560;545;550;81728200
17/02/2021;550;550;530;545;96862800
18/02/2021;545;560;540;545;98896100
19/02/2021;550;560;540;555;94869500
22/02/2021;560;570;550;555;63575300
23/02/2021;560;560;535;540;40237400
24/02/2021;540;560;530;560;64644300
25/02/2021;560;575;555;575;88835800
26/02/2021;565;570;545;550;67840600
01/03/2021;550;595;550;585;215113700
02/03/2021;595;600;575;580;82192800
03/03/2021;585;595;580;590;63866600
04/03/2021;595;595;570;580;25351200
05/03/2021;570;580;560;565;38363400
08/03/2021;570;580;545;560;37912600
09/03/2021;570;570;555;565;30947300
10/03/2021;565;585;560;585;79928900
12/03/2021;590;615;585;600;109353000
15/03/2021;610;615;590;595;63704800
16/03/2021;595;600;580;590;59656700
17/03/2021;590;595;565;570;56067800
18/03/2021;575;585;570;580;48762400
19/03/2021;580;585;565;565;21979300
22/03/2021;565;575;555;560;37287700
23/03/2021;575;575;555;555;26152000
24/03/2021;550;555;540;545;42013500
25/03/2021;550;555;525;540;45264100
26/03/2021;550;570;535;565;54246300
29/03/2021;570;570;550;550;53222100
30/03/2021;550;550;540;545;29556000
31/03/2021;540;550;530;540;101340000
01/04/2021;540;550;530;540;35030200
05/04/2021;540;545;530;535;18633100
06/04/2021;535;550;525;545;33794500
07/04/2021;540;550;535;545;44532500
08/04/2021;545;555;535;540;39330500
09/04/2021;545;545;535;535;27075800
12/04/2021;540;540;498;498;116431200
13/04/2021;492;500;484;494;124107800
14/04/2021;496;520;496;515;54719900
15/04/2021;520;520;505;510;24747100
16/04/2021;510;515;500;505;46391300
19/04/2021;505;510;500;505;35856400
20/04/2021;510;515;500;510;54036900
21/04/2021;505;510;500;505;20074200
22/04/2021;510;515;500;505;32488100
23/04/2021;505;520;500;515;50961200
26/04/2021;525;530;515;525;53181900
27/04/2021;525;540;515;535;61999400
28/04/2021;535;540;525;540;32836400
29/04/2021;540;545;530;535;8102100
30/04/2021;535;540;520;530;17169600
03/05/2021;530;540;525;540;22850700
04/05/2021;540;540;530;535;15522800
05/05/2021;535;535;520;520;22569100
06/05/2021;520;525;505;505;58343700
07/05/2021;510;515;505;510;13710700
10/05/2021;515;525;510;520;23057700
11/05/2021;520;525;510;520;22483900
17/05/2021;520;525;496;500;51189100
18/05/2021;500;510;496;510;28168800
19/05/2021;505;510;498;498;28577700
20/05/2021;498;510;498;505;37934100
21/05/2021;510;510;498;505;29072300
24/05/2021;505;510;500;505;38187600
25/05/2021;510;515;500;510;38174300
27/05/2021;505;515;500;500;50375900
28/05/2021;500;505;496;498;36577800
31/05/2021;500;505;498;500;27039900
02/06/2021;500;510;500;510;29948700
03/06/2021;510;510;498;500;84558900
04/06/2021;505;505;496;496;49356900
07/06/2021;498;500;490;490;44277900
08/06/2021;492;496;480;480;56265100
09/06/2021;480;486;468;470;133375800
10/06/2021;472;478;468;472;65685900
11/06/2021;476;478;472;476;64582500
14/06/2021;478;488;470;474;114763100
15/06/2021;474;476;460;462;64257000
16/06/2021;462;468;456;462;28257700
17/06/2021;462;462;452;456;47101900
18/06/2021;456;456;436;446;99053400
21/06/2021;440;440;428;434;97828900
22/06/2021;440;452;438;438;73365700
23/06/2021;440;446;432;432;41285500
24/06/2021;438;458;434;452;85927700
25/06/2021;454;460;452;458;52901200
28/06/2021;458;460;446;450;50096800
29/06/2021;450;452;430;450;61186100
30/06/2021;450;452;438;440;49332500
01/07/2021;440;446;436;442;37156200
02/07/2021;440;450;438;442;31524800
05/07/2021;442;448;438;438;33154000
06/07/2021;440;448;440;444;43299300
07/07/2021;440;446;440;442;16502000
08/07/2021;442;446;440;442;26267200
09/07/2021;442;444;434;436;18454400
12/07/2021;436;442;436;440;42759800
13/07/2021;440;442;430;430;37435300
14/07/2021;430;430;404;410;78491800
15/07/2021;410;416;406;410;40678500
16/07/2021;408;416;408;410;25329900
19/07/2021;410;410;404;404;20344200
