Date;Open;High;Low;Close;Volume
28/12/2020;818.779.419;838.158.813;794.555.176;818.779.419;47022522
29/12/2020;828.469.116;833.313.965;794.555.176;804.244.873;63267405
30/12/2020;804.244.873;823.624.268;775.175.781;780.020.630;81464156
04/01/2021;784.865.479;809.089.722;755.796.387;804.244.873;48735269
05/01/2021;804.244.873;828.469.116;794.555.176;809.089.722;40199398
06/01/2021;809.089.722;833.313.965;760.641.235;775.175.781;98305962
07/01/2021;784.865.479;804.244.873;765.486.084;775.175.781;78412254
08/01/2021;780.020.630;794.555.176;775.175.781;784.865.479;45410913
11/01/2021;784.865.479;813.934.570;780.020.630;804.244.873;54224811
12/01/2021;818.779.419;852.693.359;794.555.176;852.693.359;129609314
13/01/2021;857.538.208;867.227.905;813.934.570;813.934.570;80395185
14/01/2021;823.624.268;823.624.268;789.710.327;794.555.176;49995577
15/01/2021;794.555.176;818.779.419;789.710.327;804.244.873;50197028
18/01/2021;804.244.873;818.779.419;789.710.327;794.555.176;38212546
19/01/2021;804.244.873;809.089.722;741.261.841;760.641.235;89136325
20/01/2021;760.641.235;784.865.479;741.261.841;784.865.479;54956413
21/01/2021;789.710.327;799.400.024;765.486.084;775.175.781;36522400
22/01/2021;775.175.781;784.865.479;746.106.689;750.951.538;78174063
25/01/2021;746.106.689;760.641.235;712.192.749;726.727.295;56185037
26/01/2021;726.727.295;736.416.992;683.123.657;692.813.354;54078780
27/01/2021;692.813.354;731.572.144;668.589.111;717.037.598;53090823
28/01/2021;702.503.052;712.192.749;668.589.111;673.433.960;60091145
29/01/2021;678.278.809;697.658.203;649.209.717;673.433.960;45219782
01/02/2021;668.589.111;731.572.144;649.209.717;707.347.900;64145554
02/02/2021;721.882.446;726.727.295;687.968.506;697.658.203;30662877
03/02/2021;702.503.052;717.037.598;692.813.354;697.658.203;25369833
04/02/2021;697.658.203;717.037.598;687.968.506;692.813.354;29991546
05/02/2021;702.503.052;731.572.144;697.658.203;721.882.446;51967362
08/02/2021;731.572.144;794.555.176;726.727.295;780.020.630;94536700
09/02/2021;789.710.327;794.555.176;755.796.387;770.330.933;59659965
10/02/2021;770.330.933;794.555.176;755.796.387;784.865.479;31016036
11/02/2021;784.865.479;794.555.176;775.175.781;780.020.630;11843404
15/02/2021;789.710.327;833.313.965;775.175.781;833.313.965;91078698
16/02/2021;838.158.813;838.158.813;809.089.722;828.469.116;52615473
17/02/2021;828.469.116;857.538.208;804.244.873;818.779.419;91464881
18/02/2021;823.624.268;852.693.359;813.934.570;843.003.662;74560741
19/02/2021;852.693.359;901.141.846;838.158.813;891.452.148;237821571
22/02/2021;872.072.754;930.210.938;862.383.057;905.986.694;103537601
23/02/2021;915.676.392;915.676.392;843.003.662;843.003.662;89944297
24/02/2021;823.624.268;847.848.511;784.865.479;818.779.419;156596741
25/02/2021;833.313.965;847.848.511;823.624.268;828.469.116;48670355
26/02/2021;789.710.327;838.158.813;775.175.781;799.400.024;76808179
01/03/2021;809.089.722;891.452.148;799.400.024;867.227.905;215393832
02/03/2021;886.607.300;905.986.694;867.227.905;881.762.451;103043777
03/03/2021;886.607.300;896.296.997;833.313.965;852.693.359;49152929
04/03/2021;843.003.662;867.227.905;828.469.116;867.227.905;43624583
05/03/2021;862.383.057;862.383.057;833.313.965;843.003.662;23875565
08/03/2021;852.693.359;872.072.754;843.003.662;847.848.511;29627861
09/03/2021;847.848.511;881.762.451;838.158.813;857.538.208;59594741
10/03/2021;857.538.208;978.659.424;857.538.208;964.124.878;184019477
12/03/2021;973.814.575;1.036.797.607;968.969.727;1.007.728.516;85777706
15/03/2021;1.017.418.213;1.027.107.910;988.349.121;1.012.573.364;43104546
16/03/2021;1.022.263.062;1.022.263.062;993.193.970;1.007.728.516;18285194
17/03/2021;1.007.728.516;1.012.573.364;949.590.332;998.038.818;28396449
18/03/2021;998.038.818;1.007.728.516;993.193.970;998.038.818;14375784
19/03/2021;998.038.818;998.038.818;964.124.878;978.659.424;20568547
22/03/2021;978.659.424;993.193.970;949.590.332;968.969.727;16647269
23/03/2021;968.969.727;978.659.424;935.055.786;944.745.483;22814025
24/03/2021;935.055.786;939.900.635;920.521.240;930.210.938;18129978
